"Carimbo de data/hora","Curso","Categorização do trabalho","Se você tivesse oportunidade, aderiria ao trabalho remoto?","Como você acredita que o trabalho remoto possa afetar os estudos?","Você acredita que a carga horária do trabalho remoto em relação ao presencial é:","Você acredita que o rendimento no trabalho remoto em relação ao presencial é?","Qual é a sua vontade de trabalhar remotamente?","Você teria algum motivo para não trabalhar remotamente?","Tipo de trabalho","Começou a trabalhar remotamente com a pandemia?","O trabalho remoto afetou os estudos?","Horas trabalhadas","Se você já trabalhou presencialmente, acredita que no trabalho remoto sua carga horária:","Qual é seu nível de satisfação com o trabalho remoto?","Você acredita que o seu rendimento com trabalho remoto é:"
"2021/05/19 9:22:48 AM GMT-3","Engenharia Mecânica","Não empregado","Não","Negativamente","Maior","Menor","1","Falta de motivação ao trabalho em casa, já que o rendimento pra mim é bem menor que presencialmente.","","","","","","",""
"2021/05/19 9:41:03 AM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Igual","Menor","8","Não","","","","","","",""
"2021/05/19 9:51:36 AM GMT-3","Engenharia Mecânica","Não empregado","Sim","Negativamente","Igual","Menor","9","Sim","","","","","","",""
"2021/05/19 9:59:10 AM GMT-3","Engenharia de Materiais","Não empregado","Sim","Neutro","Menor","Menor","6","","","","","","","",""
"2021/05/19 10:01:42 AM GMT-3","Matemática Bacharelado","Não empregado","Sim","Neutro","Maior","Menor","8","","","","","","","",""
"2021/05/19 10:09:54 AM GMT-3","Engenharia Mecânica","Não empregado","Sim","Neutro","Maior","Igual","6","","","","","","","",""
"2021/05/19 10:15:45 AM GMT-3","Sistemas de Informação","Não empregado","Sim","Positivamente","Igual","Menor","6","Muitas distrações em casa. Dificil focar","","","","","","",""
"2021/05/19 10:20:38 AM GMT-3","Química Bacharelado","Não empregado","Não","Neutro","Menor","Igual","1","Sinto que possuo mais dedicação presencialmente","","","","","","",""
"2021/05/19 10:48:38 AM GMT-3","Engenharia de Materiais","Não empregado","Sim","Positivamente","Maior","Maior","5","Não","","","","","","",""
"2021/05/19 11:52:54 AM GMT-3","Sistemas de Informação","Empregado","Sim","Neutro","Igual","Menor","6","Sim","Presencial","","","","","",""
"2021/05/19 12:00:36 PM GMT-3","Engenharia Mecânica","Não empregado","Sim","Negativamente","Menor","Menor","8","Não","","","","","","",""
"2021/05/19 12:04:30 PM GMT-3","Ciência da Computação","Empregado","Não","Negativamente","Maior","Igual","7","","Presencial","","","","","",""
"2021/05/19 12:12:05 PM GMT-3","Química Bacharelado","Não empregado","Não","Negativamente","Menor","Menor","4","Nao","","","","","","",""
"2021/05/19 12:23:43 PM GMT-3","Engenharia Mecânica","Não empregado","Não","Negativamente","Menor","Menor","5","","","","","","","",""
"2021/05/19 12:47:41 PM GMT-3","Matemática Bacharelado","Não empregado","Não","Negativamente","Igual","Menor","4","","","","","","","",""
"2021/05/19 1:03:29 PM GMT-3","Matemática Bacharelado","Não empregado","Não","Negativamente","Maior","Menor","3","Não me sinto bem passando o dia todo em casa olhando pra uma tela","","","","","","",""
"2021/05/19 1:22:52 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Positivamente","Maior","Igual","8","","","","","","","",""
"2021/05/19 1:38:16 PM GMT-3","Engenharia de Materiais","Não empregado","Sim","Negativamente","Maior","Menor","6","","","","","","","",""
"2021/05/19 3:16:18 PM GMT-3","Engenharia de Materiais","Não empregado","Sim","Positivamente","Maior","Igual","7","","","","","","","",""
"2021/05/19 3:20:52 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Negativamente","Maior","Menor","5","Nao","","","","","","",""
"2021/05/19 3:34:27 PM GMT-3","Física Bacharelado","Não empregado","Sim","Neutro","Maior","Menor","10","Não","","","","","","",""
"2021/05/19 3:36:20 PM GMT-3","Engenharia Mecânica","Não empregado","Sim","Neutro","Maior","Maior","9","Falta de recursos quando requisitados","","","","","","",""
"2021/05/19 3:37:33 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Positivamente","Maior","Igual","7","Nenhum.","","","","","","",""
